"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"14083"	167	192.5	NA	NA	155	56.9340020951804	319
"22185"	NA	NA	143	92	NA	57.3498038357587	320
"228361"	NA	86	NA	155	NA	57.7278095894864	321
"233833"	100	133.5	NA	NA	NA	57.7711000414567	322
"223989"	115	NA	NA	NA	117	57.9978447875436	323
"213056"	46	NA	NA	NA	294	58.1463670404265	324
"98496"	NA	NA	129.5	NA	105	58.3041593713519	325
"208666"	NA	241	NA	NA	57	58.6024743504914	326
"207806"	63	NA	NA	NA	219	58.7303158513557	327
"18554"	181	255	NA	NA	119	58.812185383268	328
"75766"	NA	276	NA	173	116	58.9770623807181	329
"67896"	NA	327	NA	43	NA	59.289543766165	330
"229011"	NA	NA	204	69	NA	59.3211597998556	331
"20911"	NA	NA	138	145	287	59.6927710888342	332
"66922"	178	224.5	NA	NA	144	59.7326375521279	333
"12912"	47	306	NA	NA	NA	59.9624882739201	334
"108150"	53	272.5	NA	NA	NA	60.0884764326738	335
"80385"	122	119	NA	NA	NA	60.2453317693579	336
"64058"	NA	NA	150.5	97	NA	60.4121262661728	337
"98363"	NA	NA	136	NA	108	60.5970296301725	338
"211187"	NA	241	NA	NA	62	61.1187368979432	339
"225215"	NA	NA	170.5	88	NA	61.2454079911302	340
"22335"	249	60.5	NA	NA	NA	61.3687624121588	341
"69661"	NA	NA	90.5	168	NA	61.6522505671934	342
"12751"	NA	NA	88.5	172	NA	61.6887347900733	343
"108124"	NA	NA	NA	108	141	61.7008914036094	344
"12647"	NA	NA	119	128	NA	61.708994482166	345
"229862"	NA	NA	215.5	71	NA	61.8475949411131	346
"69125"	198	117.5	NA	NA	278	62.1052092730162	347
"69550"	NA	NA	164.5	95	NA	62.504999800016	348
"14272"	NA	NA	144	109	NA	62.6418390534633	349
"17346"	73	216	NA	NA	NA	62.7853486093691	350
"69745"	NA	NA	208.5	76	NA	62.9404480441631	351
"19159"	121	NA	NA	NA	132	63.1901891119183	352
"252972"	NA	324	NA	167	126	63.2056769989892	353
"22144"	NA	NA	78.5	NA	204	63.2732170827436	354
"380664"	227	224.5	NA	NA	137	63.7088357337978	355
"228136"	NA	289.5	148.5	164	NA	63.9172922506496	356
"231717"	NA	NA	206	NA	80	64.1872261435249	357
"108089"	191	192.5	NA	NA	195	64.2754288201922	358
"224250"	NA	NA	78.5	NA	211	64.3496309235725	359
"103677"	72	231	NA	NA	NA	64.482555780614	360
"226982"	78	214	NA	NA	NA	64.5987615980368	361
"17357"	82	204	NA	NA	NA	64.668384856899	362
"231805"	97	NA	NA	NA	175	65.1440711039769	363
"19229"	NA	314.5	NA	54	NA	65.1594198869204	364
"22115"	205	83.5	NA	NA	NA	65.4169320589096	365
"12365"	NA	NA	104.5	NA	166	65.8540051933062	366
